Noun,Person,active,DE,gen
මම,1,1,මා,Neuter
මා,1,0,මම,Neuter
අපි,1,1,අප,Neuter
අප,1,0,අපි,Neuter
නුඹ,2,3,නුඹ,Neuter
ඔබ,2,3,ඔබ,Neuter
තෝ,2,1,තා,Neuter
යුෂ්මතා,2,1,යුෂ්මතා,Masculine
යුෂ්මතී,2,1,යුෂ්මතී,Feminine
තා,2,0,තෝ,Neuter
තී,2,1,තී,Feminine
ඔබලා,2,1,ඔබලා,Neuter
තොප,2,0,තොපි,Neuter
තොපි,2,1,තොප,Neuter
නුඹලා,2,1,නුඹලා,Neuter
ඔහු,3,3,ඔහු,Masculine
ඇය,3,3,ඇය,Feminine
ඔවුහු,3,1,ඔවුන්,Neuter
ඔවුන්,3,0,ඔවුහු,Neuter
